Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Firm_Normalized,Firm_Final,Firm_ByPhone,Firm_ByAddress,Address2_Normalized,Name_Changed_Flag
1200 RIVERSIDE DRIVE ASSOCIATION,283-1972,REG,100,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",639 ISBELL RD STE 280,RENO,NV,89509,Washoe,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,639 isbell rd,False
"338 MILKY WAY COURT HOMEOWNERS ASSOCIATION INC, THE",0208852006-1,SUB,4,(917) 208-0950,,447 W 45TH ST STE 4E,NEW YORK,NY,10036,,,,,,,
344 QUAKING ASPEN LANE ASSOCIATION,10679-1991,SUB,4,(775) 230-3620,,PO BOX 5486,STATELINE,NV,89449,Douglas,,,,,,
"389 COTTONWOOD HOMEOWNERS ASSOCIATION, A NEVADA CORPORATION",30976-2003,REG,2,(716) 861-5230,,5415 VILLAGE STATION CIR,WILLIAMSVILLE,NY,14221,,,,,,,
391 WILLOW COURT HOMEOWNERS ASSOCIATION,5719-1978,REG,4,(775) 831-1084,,PO BOX 4738,INCLINE VILLAGE,NV,89450,Washoe,,,,,,
"428 QUAKING ASPEN HOA, LLC",0617562006-1,SUB,4,(775) 588-6676,,PO BOX 3390,STATELINE,NV,89449,Douglas,,,,,,
608 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,7644-1984,REG,4,(775) 882-7846,,908 SARATOGA WAY,CARSON CITY,NV,89703,Washoe,,,,,,
609 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,3992-1986,REG,4,(775) 832-6604,C/O INCLINE PROPERTY MANAGEMENT,848 TANAGER ST STE M,INCLINE VILLAGE,NV,89451,Washoe,nevada community management,nevada community management,nevada community management,nevada community management,9440 w sahara ave,False
750 MILKY WAY ASSOCIATION,9846-2004,SUB,8,(858) 720-1575,,PO BOX 3600,STATELINE,NV,89449,Douglas,,,,,,
999 LAKESHORE ASSOCIATION,1270-1967,REG,60,(775) 636-6601,C/O INCLINE PROPERTY MANAGEMENT,PO BOX 5905,INCLINE VILLAGE,NV,89450,Washoe,associa sierra north,associa sierra north,associa sierra north,associa sierra north,10509 professional cir,False
ABERDEEN @ SOUTHERN HIGHLANDS HOMEOWNERS ASSOCIATION,11900-2001,SUB,88,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,prime community management,prime community management,prime community management,prime community management,181 n arroyo grande,False
ACADIA HOMEOWNERS' ASSOCIATION,E0500242015-4,REG,56,,,AMERICAN PACIFIC & STEPHANIE,HENDERSON,NV,89074,Clark,,,,,,
ADAGIO HOMEOWNERS' ASSOCIATION,0667642005-0,REG,282,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
ADHARA COVE HOMEOWNERS ASSOCIATION,0278802014-0,REG,203,(702) 531-3382,C/O CAMCO,PO BOX 12117,LAS VEGAS,NV,89112,Clark,desert living,desert living,desert living,desert living,8925 s peco rd,False
ADIAMO HOMEOWNERS' ASSOCIATION,0145332007-4,REG,278,(702) 990-2390,C/O OVATION PROPERTY MANAGEMENT,6021 S FORT APACHE RD STE 100,LAS VEGAS,NV,89148,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ADMIRAL'S POINT HOMEOWNERS ASSOCIATION,7506-1987,SUB,132,(702) 222-2391,"C/O NEVADA COMMUNITY MANAGEMENT, LLC",9440 W SAHARA AVE STE 237,LAS VEGAS,NV,89117,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
