Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Firm_Normalized,Firm_Final,Firm_ByPhone,Firm_ByAddress,Address2_Normalized,Name_Changed_Flag
1200 RIVERSIDE DRIVE ASSOCIATION,283-1972,REG,100,(775) 674-8000,C/O KENYON & ASSOCIATES,645 SIERRA ROSE DR STE 104,RENO,NV,89511,Washoe,kenyon associate,kenyon associate,kenyon associate,kenyon associate,645 sierra rose dr,False
"338 MILKY WAY COURT HOMEOWNERS ASSOCIATION INC, THE",0208852006-1,SUB,4,(412) 941-6509,,350 SAPPHIRE WAY,FALLON,NV,89406,Douglas,,,,,,
344 QUAKING ASPEN LANE ASSOCIATION,10679-1991,SUB,4,(775) 230-3620,,PO BOX 5486,STATELINE,NV,89449,Douglas,,,,,,
"389 COTTONWOOD HOMEOWNERS ASSOCIATION, A NEVADA CORPORATION",30976-2003,REG,2,(716) 861-5230,,5415 VILLAGE STATION CIR,WILLIAMSVILLE,NY,14221,,,,,,,
391 WILLOW COURT HOMEOWNERS ASSOCIATION,5719-1978,REG,4,(775) 831-1084,,PO BOX 4738,INCLINE VILLAGE,NV,89450,Washoe,,,,,,
"428 QUAKING ASPEN HOA, LLC",0617562006-1,SUB,4,(775) 588-6676,,PO BOX 3390,STATELINE,NV,89449,Douglas,,,,,,
608 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,7644-1984,REG,4,(775) 882-7846,,908 SARATOGA WAY,CARSON CITY,NV,89703,Washoe,,,,,,
609 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,3992-1986,REG,4,(775) 832-6604,C/O INCLINE PROPERTY MANAGEMENT,848 TANAGER ST STE M,INCLINE VILLAGE,NV,89451,Washoe,ovation property management,ovation property management,ovation property management,ovation property management,6021 s ft apache rd,False
685 PALMER COURT HOMEOWNERS ASSOCIATION,0386602018-1,REG,4,(760) 213-0099,,685 PALMER COURT UNIT 4,INCLINE VILLAGE,NV,89451,Washoe,,,,,,
750 MILKY WAY ASSOCIATION,9846-2004,SUB,8,(858) 720-1575,,PO BOX 3600,STATELINE,NV,89449,Douglas,,,,,,
999 LAKESHORE ASSOCIATION,1270-1967,REG,60,(775) 831-7749,C/O PONDEROSA PROPERTY MANAGEMENT,PO BOX 5905,INCLINE VILLAGE,NV,89450,Washoe,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ABERDEEN @ SOUTHERN HIGHLANDS HOMEOWNERS ASSOCIATION,11900-2001,SUB,88,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,performance cam,performance cam,performance cam,performance cam,5135 camino al norte,False
ACADIA AT SKYE CANYON HOMEOWNERS ASSOCIATION,0591702017-1,SUB,96,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W. CHEYENNE AVE.,N. LAS VEGAS,NV,89032,Clark,camco,camco,camco,camco,p o box 400518,False
ACADIA HOMEOWNERS ASSOCIATION,0500242015-4,REG,56,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,community management group,community management group,community management group,community management group,245 box canyon dr,False
ADAGIO HOMEOWNERS' ASSOCIATION,0667642005-0,REG,282,(702) 405-3300,C/O PINNACLE COMMUNITY ASSOCIATION MANAGEMENT,8311 W SUNSET RD STE 110,LAS VEGAS,NV,89113,Clark,adept management service,adept management service,adept management service,adept management service,5550 painted mirage rd,False
ADHARA COVE HOMEOWNERS ASSOCIATION,0278802014-0,REG,203,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ADIAMO HOMEOWNERS' ASSOCIATION,0145332007-4,REG,278,(702) 990-2390,C/O OVATION PROPERTY MANAGEMENT,6021 S FORT APACHE RD STE 100,LAS VEGAS,NV,89148,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
ADMIRAL'S POINT HOMEOWNERS ASSOCIATION,7506-1987,SUB,132,(702) 222-2391,"C/O NEVADA COMMUNITY MANAGEMENT, LLC",9440 W SAHARA AVE STE 237,LAS VEGAS,NV,89117,Clark,terra west management,terra west management service,terra west management service,terra west management service,po box 80900,True
ADMIRAL'S POINT II OWNERS ASSOCIATION,10995-1992,REG,132,(702) 754-6313,C/O SIERRA COMMUNITY MANAGEMENT,6280 S VALLEY VIEW BLVD STE 310,LAS VEGAS,NV,89118,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
AFFINITY HOMEOWNERS ASSOCIATION,0240662017-1,SUB,610,(702) 362-6262,C/O KGDO HOLDING DBA TERRA WEST,6655 S. CIMARRON #200,LAS VEGAS,NV,89113,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
AGAVE MOON HOMEOWNERS ASSOCIATION,0254462018-4,REG,104,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W. CHEYENNE AVE.,LAS VEGAS,NV,89032,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
AHEY ESTATES HOMEOWNERS ASSOCIATION INC,13019-1998,REG,32,(702) 362-0318,"C/O PERFORMANCE CAM, LLC",5135 CAMINO AL NORTE STE 210,N LAS VEGAS,NV,89031,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
AIRPARK ESTATES HOMEOWNERS ASSOCIATION,887-1991,REG,136,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Lyon,the management trust,the management trust,the management trust,the management trust,8485 w sunset rd,False
ALAMO SQUARE HOMEOWNER'S ASSOCIATION,0373742016-0,REG,38,(775) 626-7333,ASSOCIA SIERRA NORTH,10509 PROFESSIONAL CT,RENO,NV,89521,Washoe,,,,,,
ALDER LANDING HOMEOWNERS ASSOCIATION,0574162017-4,REG,38,,,DURANGO AND ROBINDALE,LAS VEGTAS,NV,89113,Clark,,,,,,
ALEXANDER GRAND CANYON HOMEOWNERS ASSOCIATION,0398932017-3,REG,12,(702) 531-3382,C/O CAMCO,P O BOX 400518,LAS VEGAS,NV,89140,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,710 coronado center drive,False
ALEXANDER PARK HOMEOWNERS' ASSOCIATION,26381-2003,REG,185,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,245 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,ideal community management,ideal community management,ideal community management,ideal community management,5785 centennial center blvd,False
ALEXANDER STATION COMMUNITY ASSOCIATION,19615-1998,REG,93,(702) 645-1210,C/O ADEPT MANAGEMENT SERVICES INC,5550 PAINTED MIRAGE RD STE 320,LAS VEGAS,NV,89149,Clark,terra west management service,terra west management service,terra west management service,terra west management service,10651 professional cir,False
ALEXIS HEIGHTS UNIT OWNERS ASSOCIATION,0037492005-9,REG,256,(702) 373-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,reno property management,reno property management,reno property management,reno property management,1575 delucchi ln,False
ALIANTE COVE HOMEOWNERS ASSOCIATION,17454-2004,SUB,155,(702) 851-7660,C/O NICKLIN PROPERTY MANAGEMENT,375 N STEPHANIE ST STE 911B,HENDERSON,NV,89014,Clark,camco,camco,camco,camco,4775 w teco ave 130,False
ALLEGRA HOMEOWNERS ASSOCIATION,0328012015-7,SUB,88,(702) 362-6262,C/O TERRA WEST MANAGEMENT,PO BOX 80900,LAS VEGAS,NV,89180,Clark,terra west management service,terra west management service,terra west management service,terra west management service,po box 80900,False
ALLEGRO HOMEOWNERS ASSOCIATION,1392-1992,REG,147,(702) 736-9450,C/O TAYLOR ASSOCIATION MANAGEMENT,259 N PECOS RD STE 100,HENDERSON,NV,89074,Clark,camco,camco,camco,camco,po box 400518,False
ALLEN MANOR HOMEOWNERS ASSOCIATION,12891-2004,REG,147,(702) 655-7064,C/O LAS VEGAS VALLEY COMMUNITY MANAGEMENT,7571,LAS VEGAS,NV,89131,Clark,shannon day property management,shannon day property management,shannon day property management,shannon day property management,po box 97512,False
ALLEN MANOR II HOMEOWNERS ASSOCIATION,0052322006-0,REG,60,(702) 851-7660,C/O NICKLIN PROPERTY MANAGEMENT,375 N STEPHANIE ST STE 911B,HENDERSON,NV,89014,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ALLERTON PARK HOMEOWNER'S ASSOCIATION,0295422005-4,SUB,333,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT INC,2555 W CHEYENNE AVE,N LAS VEGAS,NV,89032,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
"ALLURE HOMEOWNERS' ASSOCIATION, INC.",0608152007-2,REG,427,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,summerlin community management,summerlin community management,summerlin community management,summerlin community management,2120 snow trail,False
ALLURE I TOWNHOMES HOMEOWNERS ASSOCIATION,3232-1994,REG,126,(702) 835-6904,C/O THE MANAGEMENT TRUST,8485 W SUNSET RD STE 100,LAS VEGAS,NV,89113,Clark,terra west management service,terra west management service,terra west management service,terra west management service,po box 80900,False
ALONDRA HOMEOWNERS' ASSOCIATION,769-2005,REG,320,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,3675 W CHEYENNE AVE STE 100,N LAS VEGAS,NV,78032,Clark,terra west management service,terra west management service,terra west management service,terra west management service,po box 80900,False
ALPIAN MEADOW @ MOUNTAIN'S EDGE,SAME AS MASTER,SAM,84,(702) 457-6362,MOUNTAIN'S EDGE MASTER ASSOCIATION,5588 S FT APACHE RD STE 100,LAS VEGAS,NV,89148,Clark,,,,,,
ALPINE CROSSINGS AND WHISPER PEAK COMMUNITY ASSOCIATION,0464062015-7,SUB,204,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ALPINE MEADOWS ESTATES HOMEOWNERS ASSOCIATION THE,7447-1996,REG,19,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,"710 CORONADO CENTER DRIVE, STE 120",HENDERSON,NV,89052,Clark,shannon day property management,shannon day property management,shannon day property management,shannon day property management,po box 97512,False
ALPINE RIDGE ESTATES HOMEOWNERS ASSOCIATION,0498242007-9,REG,25,(702) 247-1115,C/O IDEAL COMMUNITY MANAGEMENT,5785 CENTENNIAL CENTER BLVD STE 210,LAS VEGAS,NV,89149,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,710 coronado center drive,False
ALPINE TERRACE PROPERTY OWNERS ASSOCIATION,1290-1974,REG,24,(775) 853-9777,C/O TERRA WEST MANAGEMENT SERVICES,10651 PROFESSIONAL CIR STE A,RENO,NV,89521,Washoe,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,7571 tule spring rd,False
ALPINE VISTA II HOMEOWNERS ASSOCIATION,3388-1992,REG,84,(775) 329-7070,C/O RENO PROPERTY MANAGEMENT,1575 DELUCCHI LN STE 224,RENO,NV,89502,Washoe,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,3568 e russell rd,False
ALTA VILLAGE HOMEOWNERS' ASSOCIATION,7808-1994,REG,9,(775) 832-0284,C/O INCLINE PROPERTY MANAGEMENT,848 TANAGER ST STE M,INCLINE VILLAGE,NV,89451,Washoe,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
ALTAIR & GEMINI POINTE HOMEOWNERS ASSOCIATION,0453362018-3,SUB,375,(702) 531-3382,C/O CAMCO,4775 W TECO AVE #130,LAS VEGAS,NV,89118,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
