Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Firm_Normalized,Firm_Final,Firm_ByPhone,Firm_ByAddress,Address2_Normalized,Name_Changed_Flag
1200 RIVERSIDE DRIVE ASSOCIATION,283-1972,REG,100,(775) 674-8000,C/O KENYON & ASSOCIATES,645 SIERRA ROSE DR STE 104,RENO,NV,89511,Washoe,kenyon associate,kenyon associate,kenyon associate,kenyon associate,645 sierra rose dr,False
"389 COTTONWOOD HOMEOWNERS ASSOCIATION, A NEVADA CORPORATION",30976-2003,REG,2,(716) 861-5230,,5415 VILLAGE STATION CIR,WILLIAMSVILLE,NY,14221,,,,,,,
391 WILLOW COURT HOMEOWNERS ASSOCIATION,5719-1978,REG,4,(775) 831-1084,,PO BOX 4738,INCLINE VILLAGE,NV,89450,Washoe,,,,,,
608 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,7644-1984,REG,4,(775) 882-7846,,908 SARATOGA WAY,CARSON CITY,NV,89703,Washoe,,,,,,
609 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,3992-1986,REG,4,(775) 832-6604,C/O INCLINE PROPERTY MANAGEMENT,848 TANAGER ST STE M,INCLINE VILLAGE,NV,89451,Washoe,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
999 LAKESHORE ASSOCIATION,1270-1967,REG,60,(775) 831-7749,C/O PPM,PO BOX 5905,INCLINE VILLAGE,NV,89450,Washoe,ovation property management,ovation property management,ovation property management,ovation property management,6021 s ft apache rd,False
ACADIA HOMEOWNERS ASSOCIATION,0500242015-4,REG,56,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,mesa management,mesa management,mesa management,mesa management,9512 w flamingo rd,False
ADAGIO HOMEOWNERS' ASSOCIATION,0667642005-0,REG,282,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,performance cam,performance cam,performance cam,performance cam,5135 camino al norte,False
ADHARA COVE HOMEOWNERS ASSOCIATION,0278802014-0,REG,203,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Clark,associa sierra north,associa sierra north,associa sierra north,associa sierra north,10509 professional cir,False
ADIAMO HOMEOWNERS' ASSOCIATION,0145332007-4,REG,278,(702) 990-2390,C/O OVATION PROPERTY MANAGEMENT,6021 S FORT APACHE RD STE 100,LAS VEGAS,NV,89148,Clark,soleil association management,soleil association management,soleil association management,soleil association management,7200 las vega blvd s,False
ADMIRAL'S POINT II OWNERS ASSOCIATION,10995-1992,REG,132,(702) 750-0530,C/O MESA MANAGEMENT,9512 W FLAMINGO RD STE 102,LAS VEGAS,NV,89147,Clark,adept management service,adept management service,adept management service,adept management service,5550 painted mirage rd,False
