Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Firm_Normalized,Firm_Final,Firm_ByPhone,Firm_ByAddress,Address2_Normalized,Name_Changed_Flag
1200 RIVERSIDE DRIVE ASSOCIATION,283-1972,REG,100,(775) 674-8000,KENYON & ASSOCIATES,645 SIERRA ROSE DR STE 104,RENO,NV,89511,Washoe,,,,,,
"14TH STREET DUPLEX HOMEOWNERS ASSOCIATION, INC",12771462021-4,REG,2,(702) 290-2122,"C/O 14TH STREET DUPLEX HOMEOWNERS ASSOCIATION, INC",9292 BLUEMIST FALLS ST,LAS VEGAS,NV,89123,Clark,gian propertie,gian propertie,gian propertie,gian propertie,4221 transit rd,False
317 QUAKING ASPEN HOMEOWNERS ASSOCIATION,0100782019-8,SUB,8,(916) 519-1850,,P O BOX 3263,INCLINE VILLAGE,NV,89450,Douglas,,,,,,
"338 MILKY WAY COURT HOMEOWNERS ASSOCIATION INC, THE",0208852006-1,SUB,4,(412) 952-6509,,CMR 480 BOX 1769,APO,AB,9128,,,,,,,
344 QUAKING ASPEN LANE ASSOCIATION,10679-1991,SUB,4,(775) 291-8872,,ATTN: ALAN RABKIN,STATELINE,NV,89449-5486,Douglas,,,,,,
"348 HOMEOWNERS ASSOCIATION, THE",0210052019-4,SUB,4,(303) 870-2554,,P O BOX 4551,STATELINE,NV,89449,Douglas,,,,,,
360 GALAXY HOMEOWNERS ASSOCIATION,13220372021-8,SUB,8,(775) 460-9662,,ATTN: MICHAEL A BLANK,ZEHRY COVE,NV,89448,Douglas,,,,,,
"389 COTTONWOOD HOMEOWNERS ASSOCIATION, A NEVADA CORPORATION",30976-2003,REG,2,(716) 861-5230,C/O GIAN PROPERTIES,4221 TRANSIT ROAD,WILLIAMSVILLE,NY,14221,,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
391 WILLOW COURT HOMEOWNERS ASSOCIATION,5719-1978,REG,4,(775) 721-1197,ATTN: ERIC STICK,PO BOX 4738,INCLINE VILLAGE,NV,89450,Washoe,,,,,,
"428 QUAKING ASPEN HOA, LLC",0617562006-1,SUB,4,(775) 690-0808,"C/O 428 QUAKING ASPEN HOA, LLC",16310 JEFFE CT,RENO,NV,89511,Washoe,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
"5 RIDGES LANDSCAPE MAINTENANCE (LIMITED PURPOSE) ASSOCIATION, INC.",18238672021-6,REG,1800,(775) 624-8805,C/O FIRSTSERVICE RESIDENTIAL,639 ISBELL RD STE 320,RENO,NV,89509,Washoe,colonial property management,colonial property management,colonial property management,colonial property management,8595 s eastern ave,False
608 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,7644-1984,REG,4,(775) 882-7846,,908 SARATOGA WAY,CARSON CITY,NV,89703,Washoe,,,,,,
609 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,3992-1986,REG,4,(775) 772-1912,,PO BOX 3568,INCLINE VILLAGE,NV,89450,Washoe,,,,,,
685 PALMER COURT HOMEOWNERS ASSOCIATION,0386602018-1,REG,4,(760) 213-0099,,685 PALMER COURT UNIT 4,INCLINE VILLAGE,NV,89451,Washoe,,,,,,
701 HOGAN COURT COMMUNITY ASSOCIATION,2504392019-1,REG,4,(775) 527-8791,,774 MAYS BLVD #10-166,INCLINE VILLAGE,NV,89451,Washoe,,,,,,
750 MILKY WAY ASSOCIATION,9846-2004,SUB,8,(858) 720-1575,,PO BOX 7115,STATELINE,NV,89449,Douglas,,,,,,
999 LAKESHORE ASSOCIATION,1270-1967,REG,60,(702) 835-6904,C/O THE MANAGEMENT TRUST,9437 DOUBLE DIAMOND PARKWAY STE 17,RENO,NV,89521,Washoe,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron 200,False
ABERDEEN @ SOUTHERN HIGHLANDS HOMEOWNERS ASSOCIATION,11900-2001,SUB,88,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ACACIA LANDING HOMEOWNERS ASSOCIATION,18657322021-8,REG,218,(702) 625-5876,C/O SEABREEZE MANAGEMENT COMPANY,8329 W SUNSET RD STE 270,LAS VEGAS,NV,89113,Clark,performance cam,performance cam,performance cam,performance cam,5135 camino al norte,False
ACADIA AT SKYE CANYON HOMEOWNERS ASSOCIATION,0591702017-1,SUB,96,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W. CHEYENNE AVE.,NORTH LAS VEGAS,NV,89032,Clark,associa,associa,associa,associa,10509 professional cir,False
ACADIA HOMEOWNERS ASSOCIATION,0500242015-4,REG,56,(702) 736-9450,C/O TAYLOR ASSOCIATION MANAGEMENT,259 N PECOS RD STE 100,LAS VEGAS,NV,89074,Clark,camco,camco,camco,camco,po box 400518,False
ACADIA RIDGE UNIT OWNERS ASSOCIATION,11953812021-6,SUB,151,(702) 835-6904,C/O THE MANAGEMENT TRUST,8485 W SUNSET RD SUITE 100,LAS VEGAS,NV,89113,Clark,camco,camco,camco,camco,po box 400518,False
ADAGIO HOMEOWNERS' ASSOCIATION,0667642005-0,REG,282,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,6655 S CIMARRON RD STE 200,LAS VEGAS,NV,89113,Clark,seabreeze management,seabreeze management,seabreeze management,seabreeze management,8329 w sunset rd,False
ADALYN MANOR HOMEOWNERS ASSOCIATION,6829222020-2,REG,61,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,westward360,westward360,westward360,westward360,3265 n ft apache rd,False
ADAMS ESTAES HOMEOWNERS ASSOCIATION,31329962023-5,REG,12,(775) 882-9900,,ATTN: TAMARA THEIF,CARSON CITY,NV,89703,Carson City,,,,,,
ADEN SQUARE HOMEOWNERS ASSOCIATION,11922552021-4,REG,56,(702) 953-2226,C/O WESTWARD360,3265 N FORT APACHE RD STE 160,LAS VEGAS,NV,89129,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
ADHARA COVE HOMEOWNERS ASSOCIATION,0278802014-0,REG,201,(702) 430-4766,C/O LAS VEGAS COMMUNITY MANAGEMENT GROUP,2850 W HORIZON RIDGE PKWY STE 200,HENDERSON,NV,89052,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
ADIAMO HOMEOWNERS' ASSOCIATION,0145332007-4,REG,278,(702) 990-2790,C/O OVATION PROPERTY MANAGEMENT,6021 S FORT APACHE RD STE 100,LAS VEGAS,NV,89148,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ADMIRAL'S POINT HOMEOWNERS ASSOCIATION,7506-1987,SUB,132,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 W FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
ADMIRAL'S POINT II OWNERS ASSOCIATION,10995-1992,REG,132,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,1485 W WARM SPRINGS RD # 107,HENDERSON,NV,89014,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
ADOBE RANCH COMMUNITY ASSOCIATION,11765612021-5,REG,73,(949) 672-9087,C/O SEABEEZE MANAGEMENT COMPANY,9205 W RUSSELL RD STE 240,LAS VEGAS,NV,89148,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
AFFINITY HOMEOWNERS ASSOCIATION,0240662017-1,SUB,485,(702) 856-3716,C/O TERRA WEST MANAGEMENT SERVICES,6655 S. CIMARRON #200,LAS VEGAS,NV,89113,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
AGAVE MOON HOMEOWNERS ASSOCIATION,0254462018-4,REG,163,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W. CHEYENNE AVE.,N LAS VEGAS,NV,89032,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
AHEY ESTATES HOMEOWNERS ASSOCIATION INC,13019-1998,REG,32,(702) 362-0318,"C/O PERFORMANCE CAM, LLC",5135 CAMINO AL NORTE STE 100,N LAS VEGAS,NV,89081,Clark,westward360,westward360,westward360,westward360,3265 n ft apache rd,False
AIRPARK ESTATES HOMEOWNERS ASSOCIATION,887-1991,REG,40,(775) 230-8531,C/O ANCHOR MANAGEMENT AND CONSULTING,501 N MINNESOTA ST,CARSON CITY,NV,89703,Carson City,5 str mgt,5 strmgt,5 strmgt,5 strmgt,8871 w flamingo rd,True
ALAMO SQUARE HOMEOWNER'S ASSOCIATION,0373742016-0,REG,38,(775) 626-7333,C/O ASSOCIA SIERRA NORTH,"10509 PROFESSIONAL CIR, SUITE 200",RENO,NV,89521,Washoe,seabreeze management,seabreeze management,seabreeze management,seabreeze management,8329 w sunset rd,False
ALDER EAST HOMEOWNERS ASSOCIATION,0183112019-8,REG,38,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Clark,capital consultant management,capital consultant management,,capital consultant management,8090 blue diamond rd,False
ALDER LANDING HOMEOWNERS ASSOCIATION,0574162017-4,REG,38,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ALDERVISTA AT NORTH RANCH COMMUNITY ASSOCIATION,14887092021-2,REG,322,(949) 855-1800,C/O SEABREEZE MANAGEMENT COMPANY,8329 W SUNSET RD STE 270,LAS VEGAS,NV,89113,Clark,las vega community management group,las vega community management group,las vega community management group,las vega community management group,2850 w horizon ridge pkwy,False
ALEXANDER GRAND CANYON HOMEOWNERS ASSOCIATION,0398932017-3,REG,12,(702) 953-2226,C/O WESTWARD360,3265 N FORT APACHE RD STE 160,LAS VEGAS,NV,89129,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
ALEXANDER PARK HOMEOWNERS' ASSOCIATION,26381-2003,REG,185,(702) 851-7660,NICKLIN COMMUNITY MANAGEMENT SERVICES,375 N SETPHANIE ST STE 911,HENDERSON,NV,89014,Clark,,,,,,
ALEXANDER STATION COMMUNITY ASSOCIATION,19615-1998,REG,93,(702) 645-1210,C/O ADEPT MANAGEMENT SERVICES INC,6605 GRAND MONTECITO PKWY STE 100,LAS VEGAS,NV,89149,Clark,reno property management,reno property management,reno property management,reno property management,1575 delucchi lane,False
ALEXIS HEIGHTS UNIT OWNERS ASSOCIATION,0037492005-9,REG,256,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 WEST FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,camco,camco,camco,camco,po box 400518,False
ALIANTE COVE HOMEOWNERS ASSOCIATION,17454-2004,SUB,155,(702) 851-7660,C/O NICKLIN COMMUNITY MANAGEMENT,375 N STEPHANIE ST STE 911B,HENDERSON,NV,89014,Clark,seabreeze management,seabreeze management,seabreeze management,seabreeze management,8329 w sunset rd,False
ALIANTE MASTER ASSOCIATION,29013-2002,MSTR,6616,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,triton hoa service,triton hoa service,triton hoa service,triton hoa service,10501 w gowan rd,False
ALLEGRA HOMEOWNERS ASSOCIATION,0328012015-7,SUB,88,(702) 856-3785,C/O TERRA WEST MANAGEMENT SERVICE,6655 S CIMARRON RD STE 200,LAS VEGAS,NV,89113,Clark,the management trust,the management trust,the management trust,the management trust,8485 w sunset rd,False
ALLEGRO HOMEOWNERS ASSOCIATION,1392-1992,REG,147,(702) 736-9450,C/O TAYLOR ASSOCIATION MANAGEMENT,259 N PECOS RD STE 100,HENDERSON,NV,89074,Clark,triton hoa service,triton hoa service,triton hoa service,triton hoa service,10501 w gowan rd,False
ALLEN MANOR HOMEOWNERS ASSOCIATION,12891-2004,REG,147,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,6655 S CIMARRON RD STE 200,LAS VEGAS,NV,89113,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
ALLEN MANOR II HOMEOWNERS ASSOCIATION,0052322006-0,REG,60,(702) 851-7660,C/O NICKLIN COMMUNITY MANAGEMENT SERVICES,375 N STEPHANIE ST STE 911,HENDERSON,NV,89014,Clark,terra west management service,terra west management service,terra west management service,terra west management service,po box 80900,False
ALLERTON PARK HOMEOWNER'S ASSOCIATION,0295422005-4,SUB,333,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W CHEYENNE AVE,NORTH LAS VEGAS,NV,89032,Clark,triton hoa service,triton hoa service,triton hoa service,triton hoa service,10501 w gowan rd,False
"ALLURE HOMEOWNERS' ASSOCIATION, INC.",0608152007-2,REG,427,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,level property management,level property management,level property management,level property management,8966 spanish ridge ave,False
ALLURE I TOWNHOMES HOMEOWNERS ASSOCIATION,3232-1994,REG,126,(702) 953-2226,C/O WESTWARD360,3265 N FORT APACHE RD STE 160,LAS VEGAS,NV,89129,Clark,nevada community management,nevada community management,nevada community management,nevada community management,7571 tule spring rd,False
ALONDRA HOMEOWNERS' ASSOCIATION,769-2005,REG,320,(702) 943-0981,"C/O 5 STR MGT, LLC",8871 W FLAMINGO ROAD STE 202,LAS VEGAS,NV,89147,Clark,anchor management and consulting,anchor management and consulting,anchor management and consulting,anchor management and consulting,2320 s carson st,False
ALPHA & OMEGA POINTE HOMEOWNERS ASSOCIATION,6561422020-3,SUB,224,(949) 672-9087,C/O SEABEEZE MANAGEMENT COMPANY,8329 W SUNSET RD STE 270,LAS VEGAS,NV,89113,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ALPIAN MEADOW @ MOUNTAIN'S EDGE,SAME AS MASTER,SAM,84,,C/O CAPITAL CONSULTANTS MANAGEMENT CORPORATION,"8090 BLUE DIAMOND ROAD, SUITE 240",LAS VEGAS,NV,89178,Clark,summerlin community management,summerlin community management,summerlin community management,summerlin community management,2120 snow trail,False
ALPINE CROSSINGS AND WHISPER PEAK COMMUNITY ASSOCIATION,0464062015-7,SUB,204,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,terra west management service,terra west management service,terra west management service,terra west management service,po box 80900,False
ALPINE MEADOWS ESTATES HOMEOWNERS ASSOCIATION THE,7447-1996,REG,19,(702) 430-4766,C/O LAS VEGAS COMMUNITY MANAGEMENT GROUP,2850 W. HORIZON RIDGE PKWY STE 200,HENDERSON,NV,89052,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
ALPINE RIDGE ESTATES HOMEOWNERS' ASSOCIATION,0498242007-9,REG,25,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 W. FLAMINGO RD SUITE 204,LAS VEGAS,NV,89147,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
ALPINE TERRACE PROPERTY OWNERS ASSOCIATION,1290-1974,REG,24,(775) 329-7070,"C/O RENO PROPERTY MANAGEMENT, LTS",1575 DELUCCHI LN STE 224,RENO,NV,89502,Washoe,first service residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,True
ALPINE VISTA II HOMEOWNERS ASSOCIATION,3388-1992,REG,84,(775) 329-7070,C/O RENO PROPERTY MANAGEMENT,1575 DELUCCHI LANE STE 224,RENO,NV,89502,Washoe,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,710 coronado center drive,False
ALTA FIORE COMMUNITY ASSOCIATION,0012202019-3,SUB,138,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd 204,False
ALTA VILLAGE HOMEOWNERS' ASSOCIATION,7808-1994,REG,9,(775) 832-6604,C/O INCLINE PROPERTY MANAGEMENT,848 TANAGER ST STE M,INCLINE VILLAGE,NV,89451,Washoe,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,3568 e russell rd,False
ALTAIR & GEMINI POINTE HOMEOWNERS ASSOCIATION,0453362018-3,SUB,375,(949) 672-9087,C/O SEABEEZE MANAGEMENT COMPANY,8329 W SUNSET RD STE 270,LAS VEGAS,NV,89113,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne,False
ALTAIR 17 HOMEOWNERS ASSOCIATION,18990172021-4,REG,17,(702) 395-2399,"C/O TRITON HOA SERVICES, LLC","10501 W GOWAN RD, STE 260",LAS VEGAS,NV,89129,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
ALTAIR HOMEOWNERS ASSOCIATION,11896-1994,REG,176,(702) 656-4824,C/O CROSSOVER ASSOCIATION MANAGEMENT LLC,5550 PAINTED MIRAGE RD STE 320,LAS VEGAS,NV,89149,Clark,level property management,level property management,level property management,level property management,8966 spanish ridge ae,False
ALTAIR SW HOMEOWNERS ASSOCIATION,2952002019-4,REG,202,(702) 835-6904,C/O THE MANAGEMENT TRUST,8485 W SUNSET RD STE 100,LAS VEGAS,NV,89113,Clark,colonial property management,colonial property management,colonial property management,colonial property management,8595 s eastern ave,False
ALTAMONT HOMEOWNERS ASSOCIATION,20211002022-4,REG,8,(702) 395-2399,C/O TRITON HOA SERVICES LLC,"10501 W GOWAN RD, STE 260",LAS VEGAS,NV,89129,Clark,associa,associa,associa,associa,7670 w lake mead,False
ALTERRA HOMEOWNERS ASSOCIATION,24204-2002,SUB,158,(702) 851-7660,C/O NICKLIN COMMUNITY MANAGEMENT,375 N STEPHANIE ST STE 911,HENDERSON,NV,89014,Clark,epic association management,epic association management,epic association management,epic association management,8712 spanish ridge ave,False
ALTEZZA HOMEOWNERS ASSOCIATION INC,9896-1996,SUB,128,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,PO BOX 80900,LAS VEGAS,NV,89180,Clark,epic association management,epic association management,epic association management,epic association management,8712 spanish ridge ave,False
ALTITUDE HOMEOWNERS ASSOCIATION,1816682019-5,REG,6,(702) 395-2399,C/O TRITON HOA SERVICES LLC,10501 W GOWAN RD SUITE 260,LAS VEGAS,NV,89129,Clark,prime community management,prime community management,prime community management,prime community management,3556 e russell rd,False
ALTURA UNIT OWNERS ASSOCIATION,0218282015-5,SUB,119,(702) 433-0149,C/O LEVEL PROPERTY MANAGEMENT,"8966 SPANISH RIDGE AVE., STE 100",LAS VEGAS,NV,89148,Clark,nevada community management,nevada community management,nevada community management,nevada community management,704 w nye ln,False
ALTURAS AT MOUNTAIN'S EDGE HOMEOWNERS ASSOCIATION,0168262006-1,SUB,83,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,7571 TULE SPRINGS RD,LAS VEGAS,NV,89131,Clark,associa,associa,associa,associa,7670 w lake mead blvd,False
ALUM CREEK PATIO HOMES HOMEOWNERS ASSOCIATION,3220-1988,SUB,112,(775) 230-8531,C/O ANCHOR MANAGEMENT AND CONSULTING LLC,2320 S CARSON ST SUITE 3,CARSON CITY,NV,89701,Clark,varalino community management,varalino community management,varalino community management,varalino community management,6345 s peco rd,False
AMADO HOMEOWNER'S ASSOCIATION,0568642006-1,SUB,503,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,colonial property management,colonial property management,colonial property management,colonial property management,8595 s eastern ave,False
AMARANTE @ SUMMERLIN NORTH,SAME AS MASTER,SAM,160,(702) 882-5500,C/O SUMMERLIN COMMUNITY MANAGEMENT,2120 SNOW TRAIL,LAS VEGAS,NV,89134,Clark,level property management,level property management,level property management,level property management,8966 spanish ridge ave,False
